SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
14,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
14,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,0,09A,4,0000014A,3,0000012E,3,00000133,3,00000000,0,00000000,0,00000000,0,2
15,1,0D3,3,000018CD,3,0000761A,3,00000000,0,00000000,0,00000000,0,00000000,0,1
15,2,03D,6,00000010,3,00004482,0,00014010,0,00000000,0,00000000,0,00000000,0,2
15,3,0B1,3,00007FF1,3,00008216,2,00007FF0,2,00000000,0,00000000,0,00000000,0,2
15,4,2BF,3,0000B639,3,0000B641,3,0000377E,3,00000000,0,00000000,0,00000000,0,1
15,5,0AC,4,00000AA2,3,0000148A,3,00000000,0,00000000,0,00000000,0,00000000,0,1
15,6,0C4,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
15,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
15,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,0,0AC,3,00004653,3,00004676,0,00007C9A,3,00000000,0,00000000,0,00000000,0,3
16,1,038,3,0000AC65,2,000076FC,2,000076FF,3,00000000,0,00000000,0,00000000,0,6
16,2,0F1,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,D
16,3,0A3,3,00013D78,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
16,4,09B,3,00012116,3,00001F9E,3,00000000,0,00000000,0,00000000,0,00000000,0,8
16,5,2BF,3,0000377E,3,0000B604,3,0000377F,3,00000000,0,00000000,0,00000000,0,2
16,6,1EA,4,00000618,3,0000061D,3,00001289,2,0000126B,3,00000000,0,00000000,0,8
16,7,099,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
16,8,00D,6,000000C5,2,000000B9,3,000000BE,0,000000B8,3,00000000,0,00000000,0,2
16,9,0B2,5,0000029A,1,000002A3,3,00000000,0,00000000,0,00000000,0,00000000,0,0
16,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
16,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
17,0,0AC,3,000088B5,3,00008870,3,00008877,3,00000000,0,00000000,0,00000000,0,2
17,1,02A,3,00007C6B,3,00007C82,3,00007C80,3,00000000,0,00000000,0,00000000,0,3
17,2,0FD,6,0000006D,3,00000078,2,0000007A,3,00000071,3,00000000,0,00000000,0,A
17,3,015,3,0000DC2F,3,0000DC27,2,0000DC61,3,00000000,0,00000000,0,00000000,0,1
17,4,0AD,3,000046F5,1,0000F94B,2,00004B39,1,00000000,0,00000000,0,00000000,0,1
17,5,09B,3,0000C131,3,0000CA64,3,000061F8,3,00000000,0,00000000,0,00000000,0,1
17,6,0F2,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
17,7,00D,6,000000C5,3,000000CA,0,00000000,0,00000000,0,00000000,0,00000000,0,3
17,8,1E8,4,00001151,2,00001A45,1,00001A48,2,00001145,2,00000000,0,00000000,0,0
17,9,099,3,00003AAE,3,00004AB5,3,00003C14,3,00000000,0,00000000,0,00000000,0,2
